year,months,month_num,inflat_rate
2005,Oct,10,4.3
2005,Nov,11,3.5
2005,Dec,12,3.4
2005,Ave,NA,3.4
2006,Jan,1,4
2006,Feb,2,3.6
2006,Mar,3,3.4
2006,Apr,4,3.5
2006,May,5,4.2
2006,Jun,6,4.3
2006,Jul,7,4.1
2006,Aug,8,3.8
2006,Sep,9,2.1
2006,Oct,10,1.3
2006,Nov,11,2
2006,Dec,12,2.5
2006,Ave,NA,3.2
2007,Jan,1,2.1
2007,Feb,2,2.4
2007,Mar,3,2.8
2007,Apr,4,2.6
2007,May,5,2.7
2007,Jun,6,2.7
2007,Jul,7,2.4
2007,Aug,8,2
2007,Sep,9,2.8
2007,Oct,10,3.5
2007,Nov,11,4.3
2007,Dec,12,4.1
2007,Ave,NA,2.8
2008,Jan,1,4.3
2008,Feb,2,4
2008,Mar,3,4
2008,Apr,4,3.9
2008,May,5,4.2
2008,Jun,6,5
2008,Jul,7,5.6
2008,Aug,8,5.4
2008,Sep,9,4.9
2008,Oct,10,3.7
2008,Nov,11,1.1
2008,Dec,12,0.1
2008,Ave,NA,3.8
2009,Jan,1,0
2009,Feb,2,0.2
2009,Mar,3,-0.4
2009,Apr,4,-0.7
2009,May,5,-1.3
2009,Jun,6,-1.4
2009,Jul,7,-2.1
2009,Aug,8,-1.5
2009,Sep,9,-1.3
2009,Oct,10,-0.2
2009,Nov,11,1.8
2009,Dec,12,2.7
2009,Ave,NA,-0.4
2010,Jan,1,2.6
2010,Feb,2,2.1
2010,Mar,3,2.3
2010,Apr,4,2.2
2010,May,5,2
2010,Jun,6,1.1
2010,Jul,7,1.2
2010,Aug,8,1.1
2010,Sep,9,1.1
2010,Oct,10,1.2
2010,Nov,11,1.1
2010,Dec,12,1.5
2010,Ave,NA,1.6
2011,Jan,1,1.6
2011,Feb,2,2.1
2011,Mar,3,2.7
2011,Apr,4,3.2
2011,May,5,3.6
2011,Jun,6,3.6
2011,Jul,7,3.6
2011,Aug,8,3.8
2011,Sep,9,3.9
2011,Oct,10,3.5
2011,Nov,11,3.4
2011,Dec,12,3
2011,Ave,NA,3.2
2012,Jan,1,2.9
2012,Feb,2,2.9
2012,Mar,3,2.7
2012,Apr,4,2.3
2012,May,5,1.7
2012,Jun,6,1.7
2012,Jul,7,1.4
2012,Aug,8,1.7
2012,Sep,9,2
2012,Oct,10,2.2
2012,Nov,11,1.8
2012,Dec,12,1.7
2012,Ave,NA,2.1
2013,Jan,1,1.6
2013,Feb,2,2
2013,Mar,3,1.5
2013,Apr,4,1.1
2013,May,5,1.4
2013,Jun,6,1.8
2013,Jul,7,2
2013,Aug,8,1.5
2013,Sep,9,1.2
2013,Oct,10,1
2013,Nov,11,1.2
2013,Dec,12,1.5
2013,Ave,NA,1.5
2014,Jan,1,1.6
2014,Feb,2,1.1
2014,Mar,3,1.5
2014,Apr,4,2
2014,May,5,2.1
2014,Jun,6,2.1
2014,Jul,7,2
2014,Aug,8,1.7
2014,Sep,9,1.7
2014,Oct,10,1.7
2014,Nov,11,1.3
2014,Dec,12,0.8
2014,Ave,NA,1.6
2015,Jan,1,-0.1
2015,Feb,2,0
2015,Mar,3,-0.1
2015,Apr,4,-0.2
2015,May,5,0
2015,Jun,6,0.1
2015,Jul,7,0.2
2015,Aug,8,0.2
2015,Sep,9,0
2015,Oct,10,0.2
2015,Nov,11,0.5
2015,Dec,12,0.7
2015,Ave,NA,0.1
2016,Jan,1,1.4
2016,Feb,2,1
2016,Mar,3,0.9
2016,Apr,4,1.1
2016,May,5,1
2016,Jun,6,1
2016,Jul,7,0.8
2016,Aug,8,1.1
2016,Sep,9,1.5
2016,Oct,10,1.6
2016,Nov,11,1.7
2016,Dec,12,2.1
2016,Ave,NA,1.3
2017,Jan,1,2.5
2017,Feb,2,2.7
2017,Mar,3,2.4
2017,Apr,4,2.2
2017,May,5,1.9
2017,Jun,6,1.6
2017,Jul,7,1.7
2017,Aug,8,1.9
2017,Sep,9,2.2
2017,Oct,10,2
2017,Nov,11,2.2
2017,Dec,12,2.1
2017,Ave,NA,2.1
2018,Jan,1,2.1
2018,Feb,2,2.2
2018,Mar,3,2.4
2018,Apr,4,2.5
2018,May,5,2.8
2018,Jun,6,2.9
2018,Jul,7,2.9
2018,Aug,8,2.7
2018,Sep,9,2.3
2018,Oct,10,2.5
2018,Nov,11,2.2
2018,Dec,12,1.9
2018,Ave,NA,2.4
2019,Jan,1,1.6
2019,Feb,2,1.5
2019,Mar,3,1.9
2019,Apr,4,2
2019,May,5,1.8
2019,Jun,6,1.6
2019,Jul,7,1.8
2019,Aug,8,1.7
2019,Sep,9,1.7
2019,Oct,10,1.8
2019,Nov,11,2.1
2019,Dec,12,2.3
2019,Ave,NA,1.8
2020,Jan,1,2.5
2020,Feb,2,2.3
2020,Mar,3,1.5
2020,Apr,4,0.3
2020,May,5,0.1
2020,Jun,6,0.6
2020,Jul,7,1
2020,Aug,8,1.3
2020,Sep,9,1.4
2020,Oct,10,1.2
2020,Nov,11,1.2
2020,Dec,12,1.4
2020,Ave,NA,1.2
2021,Jan,1,1.4
2021,Feb,2,1.7
2021,Mar,3,2.6
2021,Apr,4,4.2
2021,May,5,5
2021,Jun,6,5.4
2021,Jul,7,5.4
2021,Aug,8,5.3
2021,Sep,9,5.4
2021,Oct,10,6.2
2021,Nov,11,6.8
2021,Dec,12,7
2021,Ave,NA,4.7
2022,Jan,1,7.5
2022,Feb,2,7.9
2022,Mar,3,8.5
2022,Apr,4,8.3
2022,May,5,8.6
2022,Jun,6,9.1
2022,Jul,7,8.5
2022,Aug,8,8.3
2022,Sep,9,8.2
2022,Oct,10,7.7
2022,Nov,11,7.1
2022,Dec,12,6.5
2022,Ave,NA,8
2023,Jan,1,6.4
2023,Feb,2,6
2023,Mar,3,5
2023,Apr,4,4.9
2023,May,5,4
2023,Jun,6,3
2023,Jul,7,3.2
2023,Aug,8,3.7
2023,Sep,9,3.7
2023,Oct,10,3.2
2023,Nov,11,3.1
2023,Dec,12,3.4
2023,Ave,NA,4.1
2024,Jan,1,3.1
2024,Feb,2,3.2
2024,Mar,3,3.5
2024,Apr,4,3.4
2024,May,5,3.3
2024,Jun,6,3
2024,Jul,7,2.9
2024,Aug,8,2.5
2024,Sep,9,2.4
2024,Oct,10,2.6
2024,Nov,11,2.7
2024,Dec,12,2.9
2024,Ave,NA,2.9
2025,Jan,1,3
2025,Feb,2,2.8
2025,Mar,3,2.4
